Statistic,University League Table 2015
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score
1,Cambridge,614,4.24,2.98,84.7,11.6,2401,747,88.6,98.9,27.5,1000
2,Oxford,580,4.19,2.96,78.4,11.0,2984,377,91.5,98.9,22.0,993
3,London School of Economics,537,4.04,2.96,76.4,11.8,1827,491,79.3,96.2,46.5,957
4,St Andrews,521,4.26,2.72,80.1,11.8,1853,445,88.3,96.8,32.5,941
5,Durham,523,4.14,2.72,82.4,15.6,1367,1004,84.8,95.9,29.5,930
6,Imperial College London,570,4.08,2.94,88.7,11.7,2205,661,85.9,97.1,27.5,926
7,Warwick,509,4.04,2.80,77.7,13.9,1695,564,81.0,95.7,27.5,893
8,Bath,488,4.24,2.71,83.3,16.6,1284,429,80.2,95.2,32.5,883
9,University College London,520,3.94,2.84,80.7,10.2,1982,262,86.7,93.6,37.0,876
10,Exeter,458,4.22,2.62,76.9,16.6,1538,636,84.6,96.5,50.5,870
11,Lancaster,445,4.11,2.71,72.7,14.9,1083,586,77.6,93.9,32.0,866
12,Surrey,416,4.19,2.58,74.9,15.4,1629,617,79.0,91.1,43.0,862
13,Loughborough,406,4.10,2.62,75.3,15.6,1236,676,78.0,93.5,37.5,851
14,York,443,4.14,2.78,73.7,15.0,1332,623,80.0,93.3,28.0,849
15,East Anglia (UEA),426,4.21,2.58,68.3,13.0,1273,718,74.3,92.3,,839
16,Southampton,428,4.04,2.72,75.1,12.8,1568,485,78.4,92.4,32.0,835
17,Birmingham,438,4.05,2.64,80.3,14.5,1745,518,81.1,94.3,29.0,829
18,Bristol,481,4.00,2.72,78.8,14.1,1510,415,83.1,95.5,46.0,823
19,Leicester,400,4.12,2.45,71.6,12.9,1566,660,79.0,93.1,30.0,815
20,Newcastle,437,4.11,2.63,79.0,15.2,1298,449,76.9,94.2,48.5,806
21,Edinburgh,487,3.83,2.75,74.9,13.8,1511,509,83.7,90.4,41.0,804
22,Kent,369,4.08,2.60,70.6,13.6,884,431,74.7,91.5,32.0,798
23,Cardiff,420,4.02,2.69,77.4,13.0,979,369,78.0,95.7,32.0,792
23,Leeds,431,4.05,2.72,69.1,14.7,1357,424,81.0,94.4,38.0,792
23,Nottingham,439,4.02,2.67,76.8,14.1,1372,455,78.0,94.0,35.0,792
26,Sheffield,437,4.10,2.72,71.4,14.9,1231,445,78.5,93.9,38.5,787
27,Aston,378,4.14,2.43,73.0,16.2,1202,440,75.2,91.7,51.0,774
28,King's College London,466,3.91,2.69,81.8,11.4,1462,505,81.1,92.5,31.5,773
28,Manchester,439,3.99,2.82,71.8,13.9,1242,486,73.8,93.3,30.0,773
30,Glasgow,485,4.09,2.59,74.4,15.2,1500,571,74.5,87.3,33.5,771
31,Liverpool,412,4.02,2.54,71.2,12.7,1592,462,76.8,92.5,27.0,764
31,"Queen's, Belfast",390,4.15,2.56,74.6,15.5,1109,665,72.6,92.2,31.0,764
33,Heriot-Watt,422,4.17,2.48,77.7,16.4,937,572,70.5,82.3,26.5,759
33,"Royal Holloway, University of London",402,4.10,2.67,63.6,15.4,1038,435,74.0,92.3,30.0,759
35,SOAS University of London,415,4.00,2.60,66.4,11.6,1648,235,84.0,85.6,34.5,755
36,"Queen Mary, University of London",422,4.07,2.73,68.7,12.0,1515,531,70.3,90.9,28.5,752
37,Reading,375,4.09,2.53,68.6,14.7,1132,399,72.5,91.4,47.5,750
38,Sussex,406,4.03,2.61,54.2,16.5,1265,625,76.3,90.5,36.5,748
39,Essex,339,4.19,2.77,51.4,16.1,1291,811,64.7,86.6,33.0,731
