Statistic,University League Table 2016
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score
1,Cambridge,601,4.18,3.33,0.95,88.3,11.3,2498,780,89.3,98.4,33.4,1000
2,Oxford,571,4.17,3.34,0.87,81.9,10.6,2775,446,92.1,96.4,32.7,989
3,London School of Economics,532,3.95,3.35,0.85,83.0,11.4,1833,514,82.1,94.8,62.2,953
4,Imperial College London,566,4.10,3.36,0.92,89.9,11.3,2144,658,87.3,96.5,33.6,943
5,Durham,521,4.16,3.14,0.79,79.5,14.9,1430,1030,87.4,96.6,40.9,926
5,St Andrews,516,4.25,3.13,0.82,78.5,11.4,1911,456,89.6,95.3,41.0,926
7,Warwick,480,4.12,3.22,0.83,77.6,12.6,1760,619,82.3,96.7,28.0,909
8,Surrey,424,4.24,2.98,0.73,81.2,14.0,1664,641,78.9,92.2,53.4,885
9,Lancaster,434,4.10,3.15,0.77,78.1,13.8,1565,778,76.9,93.4,42.9,882
10,Exeter,463,4.22,3.08,0.82,79.4,15.6,1629,670,84.1,95.8,56.9,876
11,Bath,476,4.24,3.17,0.74,85.1,16.7,1307,421,84.1,96.1,32.9,874
11,Loughborough,397,4.19,2.95,0.88,79.9,15.0,1210,949,79.8,93.1,42.3,874
13,University College London,500,3.96,3.22,0.91,81.3,10.3,1982,195,87.9,94.7,60.9,873
14,Southampton,408,4.05,3.15,0.90,77.7,12.0,1623,496,80.4,92.4,28.3,842
15,Bristol,486,3.99,3.18,0.91,80.2,13.8,1453,433,86.3,96.7,48.0,834
16,East Anglia (UEA),406,4.19,3.11,0.75,70.1,13.7,1298,815,78.8,91.9,,828
17,York,436,4.06,3.17,0.75,73.6,14.8,1325,655,81.6,94.3,34.9,824
18,Birmingham,425,4.08,3.07,0.81,84.0,15.5,1787,522,84.4,94.7,35.1,823
19,Leeds,430,4.09,3.13,0.75,74.5,13.7,1714,447,82.2,93.5,60.3,821
20,Edinburgh,482,3.86,3.18,0.83,77.9,12.2,1546,532,83.0,91.3,51.6,818
21,Sussex,385,4.05,3.01,0.73,74.9,15.6,1404,765,78.6,93.0,51.7,812
22,Kent,359,4.13,2.95,0.85,75.2,13.0,924,458,80.0,90.8,38.8,811
23,King's College London,453,3.95,3.23,0.80,79.6,11.3,1436,554,83.2,92.8,49.5,805
24,Leicester,386,4.08,2.93,0.82,73.6,12.2,1687,748,78.3,92.5,37.2,799
25,Nottingham,426,4.05,3.09,0.79,79.2,14.0,1415,509,79.3,93.1,53.1,795
26,Newcastle,425,4.13,3.09,0.80,78.7,15.6,1253,434,79.2,95.1,67.5,791
27,Sheffield,427,4.07,3.17,0.74,76.9,15.0,1334,471,80.4,94.4,37.2,786
28,Manchester,433,4.02,3.16,0.78,75.5,13.2,1309,517,75.7,92.9,29.8,785
29,Reading,371,4.10,3.03,0.83,71.5,14.2,1277,397,76.2,92.3,47.6,783
30,Glasgow,465,4.11,3.10,0.84,79.9,14.8,1545,511,77.8,88.4,33.8,782
31,Cardiff,425,4.05,3.27,0.62,81.5,14.3,1030,425,77.8,93.4,51.2,777
32,Aston,368,4.12,3.05,0.57,76.6,16.0,1207,497,75.1,90.8,67.5,771
33,"Queen Mary, University of London",408,4.04,3.18,0.74,69.4,12.2,1519,667,75.3,91.2,35.5,760
34,"Royal Holloway, University of London",398,4.12,3.09,0.77,62.2,15.3,1065,484,75.9,92.3,43.3,759
34,Essex,309,4.20,3.05,0.82,64.2,15.1,1523,996,68.9,85.7,37.8,759
36,"Queen's, Belfast",380,4.10,2.99,0.95,74.9,15.1,1103,678,75.8,91.0,31.6,755
37,Heriot-Watt,411,4.15,3.06,0.82,73.2,16.9,1084,686,72.0,87.4,47.2,753
38,Strathclyde,473,4.02,3.04,0.84,77.6,19.3,1393,312,77.9,87.6,33.9,748
39,Liverpool,403,3.97,3.06,0.70,72.8,11.9,1573,480,75.4,91.4,28.0,747
40,Aberdeen,445,3.95,2.97,0.73,74.2,13.4,1457,638,77.1,84.2,49.6,733
41,"City, University of London",377,3.99,2.95,0.53,73.7,16.2,1652,478,73.8,86.0,,725
42,Dundee,398,4.13,3.03,0.68,70.3,13.9,1139,331,76.1,86.0,40.3,716
43,SOAS University of London,407,3.97,2.82,0.76,62.6,10.9,1774,250,82.9,80.7,49.6,713
43,"St George's, University of London",419,3.91,2.99,0.52,89.4,12.9,4280,76,70.4,92.8,28.5,713
45,Swansea,325,4.01,3.09,0.71,78.7,15.3,1256,408,74.4,89.7,65.0,711
46,Keele,358,4.22,2.88,0.59,71.9,13.9,784,443,68.4,90.8,50.4,704
47,Stirling,371,3.98,2.96,0.74,70.1,15.0,958,590,67.9,85.6,21.4,700
48,Coventry,309,4.27,2.67,0.13,70.8,14.7,1103,454,67.4,85.9,62.6,690
49,Brunel University London,351,4.14,2.67,0.85,59.5,16.7,1403,458,68.8,87.8,44.0,687
50,"Goldsmiths, University of London",352,3.98,2.90,0.85,55.4,14.8,891,281,81.4,82.3,31.9,680
51,Lincoln,334,4.09,2.54,0.39,67.4,18.0,1040,475,65.0,87.6,34.6,664
52,University for the Creative Arts,325,3.95,2.72,0.10,49.3,11.7,1586,643,60.4,85.8,29.8,657
53,Nottingham Trent,309,4.09,2.59,0.23,63.3,17.2,996,658,69.2,89.6,72.6,655
54,De Montfort,305,4.08,2.67,0.30,68.7,18.7,1129,491,70.9,86.5,67.7,651
54,Bournemouth,327,3.89,2.72,0.29,62.9,18.0,1119,455,75.5,86.0,69.1,651
