Statistic,University League Table 2019
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
1,Cambridge,226,,3.33,0.95,87.3,11.0,2638,915,92.6,98.6,1000
2,Oxford,217,,3.34,0.87,85.0,10.5,2703,640,93.7,98.5,997
3,London School of Economics,200,3.71,3.35,0.85,87.1,11.9,2231,662,88.8,96.0,935
4,Imperial College London,219,4.07,3.36,0.92,90.5,11.4,2582,844,90.2,96.6,930
5,St Andrews,206,4.32,3.13,0.82,81.6,11.6,1970,660,90.1,96.0,928
6,Durham,197,4.13,3.14,0.79,84.0,14.9,1728,1034,90.8,96.1,895
7,Loughborough,162,4.24,2.95,0.88,82.2,13.8,1685,1176,84.3,92.3,883
8,Lancaster,157,4.20,3.15,0.77,85.0,12.7,2050,1011,76.5,92.6,881
9,Warwick,181,4.13,3.22,0.83,80.6,12.8,1722,717,84.4,96.2,874
10,University College London,191,,3.22,0.91,82.0,10.3,2353,309,90.8,94.0,870
11,Bath,186,4.11,3.17,0.74,85.2,15.8,1792,505,86.2,95.1,836
12,Exeter,176,4.11,3.08,0.82,84.1,16.1,1616,911,86.3,95.5,828
13,Leeds,166,4.12,3.13,0.75,81.1,13.2,2339,517,86.6,92.5,820
14,East Anglia (UEA),154,4.09,3.11,0.75,77.4,13.4,1716,1133,87.8,90.5,816
15,Bristol,184,,3.18,0.91,80.2,13.6,1518,506,89.3,95.6,800
15,Birmingham,164,4.06,3.07,0.81,85.9,14.8,2056,574,85.8,94.6,800
17,Nottingham,165,4.09,3.09,0.79,83.3,13.9,1655,758,84.9,93.4,796
18,Manchester,169,,3.16,0.78,82.4,13.4,2030,686,81.7,93.1,792
19,Surrey,166,4.12,2.98,0.73,76.4,15.7,1731,745,85.3,90.5,779
20,Southampton,160,4.00,3.15,0.90,80.1,12.9,1657,536,82.4,92.3,776
21,York,159,4.18,3.17,0.75,81.1,14.6,1445,439,80.6,92.5,770
