"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Degree Completion,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2022 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Degree Completion","Overall Score"
"1","University of Oxford","201","","3.49","0.95","88.3","81.4","10.5","2748","546","98.8","1000"
"2","University of Cambridge","207","","3.53","1.00","87.5","81.2","11.6","2705","1067","98.9","995"
"3","London School of Economics and Political Science, University of London","193","3.87","3.53","0.65","90.2","78.9","13.4","1822","805","97.2","960"
"4","University of St Andrews","209","4.26","3.31","0.71","78.6","80.1","11.8","2803","705","96.3","927"
"5","Imperial College London","198","4.05","3.63","0.80","92.4","84.6","11.7","2855","618","98.8","913"
"6","Durham University","187","3.90","3.34","0.70","82.5","79.8","13.7","2278","989","97.9","902"
"7","Loughborough University","155","4.06","3.30","0.71","79.2","77.8","13.8","1981","1395","93.4","876"
"8","University of Bath","177","3.99","3.31","0.73","85.8","81.6","15.4","1930","790","96.5","867"
"9","UCL (University College London)","189","3.85","3.50","0.72","85.3","80.1","11.1","2175","322","95.8","860"
"10","University of Warwick","167","4.00","3.42","0.59","83.4","81.1","14.2","1577","820","96.7","842"
"11","Lancaster University","150","3.96","3.37","0.80","75.8","76.2","14.1","2158","952","95.8","836"
"12","The University of Edinburgh","190","3.70","3.42","0.76","76.8","77.7","11.5","1426","789","96.4","809"
"13","University of Southampton","155","3.89","3.41","0.71","75.4","73.8","12.6","2142","823","93.6","793"
"14","University of Birmingham","158","3.67","3.43","0.63","76.5","78.3","14.9","2385","1090","96.9","772"
"15","University of Bristol","167","3.78","3.51","0.67","79.0","77.9","14.1","1582","716","97.1","771"
"16","University of Leeds","159","3.81","3.35","0.65","78.2","75.8","13.8","2684","433","95.2","768"
"17","University of Manchester","165","3.71","3.47","0.66","78.4","76.2","14.3","2371","621","95.6","763"
"18","University of Surrey","143","3.98","3.29","0.62","80.2","79.6","16.0","2052","718","92.7","759"
"19","University of Exeter","162","3.81","3.35","0.69","74.6","74.4","15.8","1282","1052","95.7","754"
"20","University of York","149","3.92","3.45","0.65","76.2","76.3","15.1","1168","679","95.2","752"
"21","University of Liverpool","144","3.89","3.34","0.61","73.3","76.2","13.8","2370","714","94.9","741"
"22","King's College London, University of London","165","3.75","3.46","0.69","82.4","79.9","13.9","1908","705","95.0","739"
"23","University of Glasgow","204","3.93","3.43","0.57","72.2","74.5","13.7","1758","592","93.5","726"
"24","Queen's University Belfast","148","3.87","3.27","0.70","81.2","80.1","15.9","1417","740","95.0","724"
"25","University of Nottingham","152","3.80","3.34","0.68","79.3","76.8","15.8","1845","868","95.7","722"
"26","Cardiff University","148","3.73","3.36","0.59","79.5","78.8","14.5","1711","704","94.8","719"
"27","University of East Anglia UEA","134","3.86","3.38","0.56","73.0","73.2","14.2","1823","1070","91.9","715"
"28","University of Sheffield","149","3.91","3.40","0.66","74.4","75.3","14.9","1823","529","93.7","712"
"29","University of Leicester","129","3.90","3.30","0.63","71.2","74.4","13.7","2356","716","93.1","711"
"29","Harper Adams University","128","3.94","2.61","0.25","74.3","83.8","13.8","2004","2083","92.9","711"
"31","University of Reading","129","3.76","3.24","0.63","74.6","76.0","16.6","1911","855","94.0","704"
"32","University of Strathclyde","207","3.97","3.29","0.65","76.7","75.2","19.1","1541","498","94.2","698"
"33","Royal Holloway, University of London","128","3.86","3.30","0.70","68.0","71.3","16.2","1810","765","95.6","694"
"34","Heriot-Watt University","176","3.86","3.22","0.67","72.1","75.0","18.0","2032","1380","89.0","686"
"35","Queen Mary University of London","145","3.80","3.39","0.61","73.4","74.4","14.6","2101","662","95.8","683"
"36","Newcastle University","148","3.67","3.29","0.70","73.8","74.5","14.7","1932","567","95.4","682"
"37","University of Aberdeen","185","3.98","3.03","0.73","71.6","72.4","15.0","1860","730","92.7","680"
"38","University of the Arts London","135","3.66","3.18","0.14","58.2","67.4","11.9","2933","281","88.2","679"
"39","University of Essex","112","3.76","3.23","0.65","65.3","71.3","16.0","2044","1350","89.3","674"
"40","City, University of London","133","3.73","3.25","0.56","77.7","79.6","19.4","1882","612","94.3","667"
"41","University of Sussex","135","3.78","3.29","0.69","66.8","66.4","17.3","1544","873","92.4","665"
"42","Swansea University","131","3.95","3.20","0.47","71.5","73.3","16.2","1485","609","91.0","651"
"43","Northumbria University, Newcastle","133","3.73","3.06","0.68","71.4","76.1","15.7","1575","621","85.3","649"
"44","Ulster University","131","3.98","3.20","0.55","70.3","74.8","20.3","1665","661","90.5","642"
"45","Oxford Brookes University","122","3.74","2.87","0.39","73.7","77.8","14.0","1415","789","91.0","640"
"46","SOAS University of London","140","3.83","3.24","0.57","68.0","70.5","14.6","2601","457","87.6","637"
"47","University of Kent","123","3.89","3.26","0.67","65.1","69.5","17.7","1294","759","92.7","636"
"48","Aston University, Birmingham","133","3.82","3.06","0.52","75.5","77.9","17.0","1452","547","93.1","633"
"49","University of Dundee","180","3.87","3.23","0.41","73.8","76.1","14.9","1850","638","90.2","632"
"50","University of Stirling","169","3.93","3.11","0.67","66.4","73.9","18.6","1030","842","89.9","631"
"51","University of Lincoln","125","3.91","2.98","0.39","65.2","71.7","16.1","1316","816","90.4","630"
"52","Keele University","127","3.91","3.07","0.52","74.4","77.9","15.3","1494","619","91.7","621"
"53","Aberystwyth University","125","4.09","3.00","0.69","61.2","67.2","15.6","2367","473","85.6","615"
"54","Norwich University of the Arts","131","3.94","2.96","0.13","56.9","65.7","15.5","1963","700","86.1","611"
"55","St George's, University of London","145","3.53","3.23","0.38","94.6","93.2","13.1","2088","335","95.2","607"
"56","Nottingham Trent University","123","3.80","3.10","0.20","62.5","69.7","15.3","1287","782","89.8","606"
"57","Coventry University","121","3.93","2.90","0.23","68.4","73.0","13.8","1958","611","80.2","605"
"58","University of Hull","125","3.92","3.10","0.37","70.3","74.3","16.2","1925","858","82.7","598"
"59","University of Huddersfield","126","3.76","2.80","0.47","62.8","71.8","14.7","1828","716","86.6","595"
"60","University of Chester","123","3.84","2.50","0.48","66.3","72.6","15.1","2000","869","87.3","594"
"61","Bristol, University of the West of England","123","3.90","2.96","0.25","72.8","74.5","15.7","1085","557","86.2","586"
"62","Goldsmiths, University of London","124","3.60","3.11","0.64","57.6","66.0","13.9","2389","859","77.6","585"
"63","Bangor University","122","3.87","3.23","0.46","61.8","67.1","15.1","1376","849","84.2","584"
"64","University of Plymouth","132","3.89","3.01","0.45","70.9","76.1","17.3","1900","542","87.9","581"
"64","Edge Hill University","128","3.87","2.67","0.32","63.4","71.2","15.5","1584","890","87.7","581"
"66","Sheffield Hallam University","118","3.77","2.93","0.28","72.1","74.8","17.7","2214","439","88.0","577"
"67","Manchester Metropolitan University","123","3.74","3.11","0.36","61.5","67.5","17.5","2057","731","87.3","574"
"68","University of Hertfordshire","113","3.89","3.02","0.32","67.9","73.5","16.5","1519","967","86.3","571"
"69","University of Portsmouth","119","3.79","3.00","0.41","65.4","70.4","16.8","1528","638","87.8","567"
"70","Falmouth University","127","3.88","3.17","0.20","52.7","63.1","14.8","1528","511","84.7","565"
"71","Arts University Bournemouth","148","3.84","2.63","0.20","52.9","61.1","14.5","1409","324","88.7","563"
"72","Bournemouth University","116","3.60","2.77","0.66","71.2","72.4","19.2","1672","718","87.0","562"
"72","Cardiff Metropolitan University","124","3.86","2.83","0.28","64.4","72.0","18.1","1685","750","82.1","562"
"74","University of Bradford","129","3.87","2.85","0.53","69.1","76.5","19.1","1274","662","91.0","549"
"74","University for the Creative Arts","129","3.86","3.06","0.11","49.9","57.5","13.8","2291","204","85.1","549"
"76","University of Chichester","129","4.03","2.41","0.36","59.3","68.9","15.2","1042","739","86.2","546"
"77","University of West London","117","4.04","2.67","0.13","60.6","68.6","12.9","1530","734","76.5","545"
"78","University of Roehampton","105","3.84","3.11","0.44","57.1","66.6","18.3","2302","863","80.8","539"
"78","Kingston University","120","3.87","2.89","0.39","65.8","69.6","17.0","1936","683","82.9","539"
"80","Liverpool John Moores University","132","3.78","2.82","0.45","63.4","69.5","18.0","1226","405","85.9","538"
"81","Brunel University London","123","3.55","2.88","0.75","65.1","72.9","17.9","1118","495","89.4","535"
"81","University of Brighton","117","3.62","3.05","0.40","70.8","72.1","18.1","1801","579","86.0","535"
"83","University of Greenwich","121","3.87","2.86","0.51","68.4","72.8","19.5","1229","628","86.8","534"
"83","University of Sunderland","122","4.00","2.75","0.13","56.2","70.0","15.9","1911","553","80.1","534"
"85","University of Worcester","123","3.96","2.32","0.34","70.9","76.8","17.5","1217","607","84.9","533"
"85","University of Salford","124","3.77","3.00","0.27","68.0","73.0","17.9","1263","701","83.9","533"
"87","St Mary's University, Twickenham","112","4.07","2.72","0.47","65.6","72.4","16.0","1164","776","74.2","531"
"88","Glasgow Caledonian University","170","3.89","2.95","0.31","73.6","77.2","22.9","1465","273","88.9","529"
"89","Liverpool Hope University","117","3.82","2.52","0.62","56.7","73.9","16.3","811","1182","83.5","525"
"89","Birmingham City University","122","3.88","2.70","0.19","67.7","72.5","17.2","1293","530","86.6","525"
"91","University of Derby","123","3.95","2.52","0.25","62.8","71.4","15.8","1362","394","83.2","523"
"91","University of South Wales","127","3.86","2.66","0.21","61.9","70.9","16.1","1710","282","81.6","523"
"93","Queen Margaret University, Edinburgh","161","3.97","2.59","0.37","64.5","74.1","21.9","1040","397","88.1","519"
"94","Teesside University, Middlesbrough","119","3.74","2.76","0.32","70.0","76.8","17.1","1956","479","80.2","517"
"95","Royal Agricultural University","117","3.76","2.33","0.53","61.6","80.8","21.5","2292","963","92.3","515"
"95","Bath Spa University","124","3.81","2.71","0.46","52.4","65.3","16.6","1674","547","82.1","515"
"97","Edinburgh Napier University","148","3.99","2.86","0.45","69.0","70.3","22.1","1898","309","87.5","504"
"98","University of Northampton","112","3.77","2.22","0.24","67.4","76.9","17.7","1907","698","86.2","501"
"99","University of Central Lancashire","125","3.80","2.81","0.30","63.2","69.9","16.2","1679","423","79.7","498"
"100","University of Suffolk","110","3.85","2.69","0.12","73.4","77.3","15.0","2165","531","66.7","495"
"101","University of Gloucestershire","118","3.88","2.43","0.31","60.8","68.6","17.2","1529","439","81.8","493"
"102","Staffordshire University","116","3.95","2.78","0.17","63.5","68.5","17.7","1360","474","79.0","489"
"103","Robert Gordon University","153","4.02","2.54","0.17","69.9","76.1","20.8","1170","481","86.8","488"
"103","York St John University","112","3.94","2.43","0.47","61.3","69.1","18.0","1467","568","86.4","488"
"105","Canterbury Christ Church University","108","3.76","2.72","0.32","67.0","75.3","18.2","1462","550","83.8","486"
"106","Leeds Beckett University","113","3.85","2.68","0.36","64.4","68.7","21.7","1470","684","84.4","485"
"107","Buckinghamshire New University","112","3.92","2.25","0.13","63.3","72.0","15.4","2591","581","70.6","479"
"108","Abertay University","150","3.95","2.66","0.64","64.3","70.1","24.2","1023","645","81.8","477"
"109","University of Winchester","115","3.74","2.53","0.38","61.3","68.5","18.1","1194","452","87.4","474"
