"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2024 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"1","University of Cambridge","209","","3.53","1.00","93.1","83.5","11.6","2917","1181","99.3","1000"
"2","University of Oxford","205","","3.49","0.95","91.9","81.0","10.3","2726","600","97.9","965"
"3","London School of Economics and Political Science, University of London","195","3.07","3.53","0.65","91.4","83.0","12.8","1916","738","99.1","946"
"4","University of St Andrews","212","3.31","3.31","0.71","89.6","84.5","11.9","2949","787","97.6","938"
"5","Imperial College London","206","3.15","3.63","0.80","94.2","86.2","11.9","3325","619","95.0","897"
"6","Loughborough University","160","3.19","3.30","0.71","86.8","79.7","14.1","1952","1595","96.9","889"
"7","Durham University","185","3.06","3.34","0.70","89.2","80.7","13.5","2605","1038","97.5","887"
"8","University of Bath","181","3.14","3.31","0.73","90.6","82.0","15.3","2042","996","97.7","876"
"9","UCL (University College London)","190","3.05","3.50","0.72","88.4","81.0","10.9","2262","440","97.2","859"
"10","University of Warwick","173","3.17","3.42","0.59","87.6","80.0","13.9","1867","955","96.1","844"
"10","Lancaster University","153","3.15","3.37","0.80","81.5","80.7","14.0","2397","1013","97.1","844"
"12","University of Surrey","143","3.20","3.29","0.62","84.8","82.0","14.4","2325","799","93.8","808"
"13","University of Birmingham","158","2.99","3.43","0.63","85.9","80.9","14.6","1667","1734","96.1","804"
"14","University of Exeter","164","3.07","3.35","0.69","85.1","78.2","16.0","1782","1144","97.0","801"
"15","The University of Edinburgh","197","2.95","3.42","0.76","83.3","79.3","12.3","1410","716","97.5","798"
"16","University of Bristol","174","3.01","3.51","0.67","85.4","78.1","13.9","1786","856","97.4","795"
"17","University of York","157","3.06","3.45","0.65","83.3","80.0","14.2","1304","870","96.6","788"
"18","University of Sheffield","157","3.12","3.40","0.66","84.5","78.1","14.4","2135","610","96.7","781"
"19","University of Liverpool","147","3.07","3.34","0.61","83.8","78.5","13.6","2418","927","96.7","779"
"20","University of Southampton","156","3.02","3.41","0.71","84.4","77.1","14.0","1946","756","96.9","777"
"21","University of East Anglia UEA","139","3.03","3.38","0.56","82.5","78.7","13.4","2046","1207","94.7","773"
"22","University of Manchester","167","2.95","3.47","0.66","85.7","77.9","13.9","2224","567","96.5","772"
"23","University of Leeds","162","2.96","3.35","0.65","84.9","79.2","14.4","2934","420","96.2","768"
"24","King's College London, University of London","171","2.97","3.46","0.69","86.9","79.7","14.0","2254","917","95.0","763"
"25","Queen's University Belfast","156","3.07","3.27","0.70","88.7","82.1","15.4","1533","736","95.5","759"
"26","Newcastle University","151","3.01","3.29","0.70","83.3","80.2","14.3","2276","679","96.4","753"
"27","Cardiff University","153","2.96","3.36","0.59","86.4","79.9","13.9","1846","914","96.2","752"
"28","University of Glasgow","209","3.04","3.43","0.57","83.2","76.9","14.4","1804","591","96.5","750"
"29","University of the Arts London","150","3.00","3.18","0.14","66.6","71.5","11.5","3094","351","93.9","746"
"30","University of Nottingham","154","3.04","3.34","0.68","86.3","78.2","15.7","1963","790","96.3","741"
"30","University of Essex","126","3.10","3.23","0.65","73.8","73.1","14.6","2969","1615","90.0","741"
"32","University of Strathclyde","210","3.11","3.29","0.65","85.7","81.2","18.8","1608","534","95.2","734"
"33","Harper Adams University","134","3.09","2.61","0.25","77.3","84.1","13.8","1894","2226","95.5","731"
"34","Northumbria University, Newcastle","142","3.06","3.06","0.68","79.4","78.2","15.5","1895","655","89.8","720"
"35","University of Reading","131","3.08","3.24","0.63","80.8","76.8","15.8","2152","681","94.4","716"
"36","University of Leicester","132","3.08","3.30","0.63","81.4","75.8","14.4","2410","652","94.7","711"
"37","Swansea University","136","3.06","3.20","0.47","82.0","78.0","15.9","1563","815","94.7","706"
"38","Royal Holloway, University of London","139","3.02","3.30","0.70","78.7","71.5","15.9","1727","770","95.1","704"
"39","Aston University, Birmingham","134","3.08","3.06","0.52","85.3","80.2","17.0","1619","609","96.8","703"
"39","City, University of London","139","3.05","3.25","0.56","80.0","76.7","18.2","1944","599","94.4","703"
"41","University of Aberdeen","185","3.19","3.03","0.73","80.3","75.5","15.1","1961","754","96.1","700"
"42","Ulster University","134","3.18","3.20","0.55","80.7","81.3","18.3","2007","802","89.0","696"
"42","Aberystwyth University","130","3.23","3.00","0.69","72.1","72.2","14.9","2650","624","94.2","696"
"42","Heriot-Watt University","176","2.94","3.22","0.67","82.2","77.5","18.4","2389","1478","92.7","696"
"45","Nottingham Trent University","127","3.13","3.10","0.20","74.5","74.4","15.1","1491","736","95.3","691"
"46","Oxford Brookes University","118","3.07","2.87","0.39","78.9","78.5","13.0","1334","688","93.7","689"
"47","University of Sussex","133","3.03","3.29","0.69","75.9","74.4","17.8","1500","822","95.4","683"
"48","University of Lincoln","127","3.10","2.98","0.39","73.6","71.8","15.1","1497","981","94.6","676"
"49","University of Portsmouth","128","3.12","3.00","0.41","74.1","74.1","15.8","1948","854","93.0","671"
"50","Queen Mary University of London","151","2.97","3.39","0.61","78.9","73.0","15.6","1980","671","95.0","662"
