"Statistic","University League Table 2027"
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2026 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"1","University of Cambridge","208","3.17","3.53","1.00","89.1","81.7","10.7","3338","1421","98.9","1000"
"2","University of Oxford","198","3.19","3.49","0.95","88.1","81.1","9.3","2826","654","98.1","977"
"3","London School of Economics and Political Science, University of London","185","3.21","3.53","0.65","89.0","80.6","11.5","2363","828","97.4","947"
"4","University of St Andrews","206","3.32","3.31","0.71","87.8","80.9","11.0","3875","879","96.8","908"
"5","Imperial College London","205","3.18","3.63","0.80","92.4","85.5","11.7","3920","678","96.2","905"
"6","Durham University","172","3.21","3.34","0.70","83.1","80.2","12.5","3428","1254","97.9","902"
"7","University of Warwick","171","3.21","3.42","0.59","85.2","80.7","11.7","2471","1189","97.1","888"
"8","Loughborough University","148","3.16","3.30","0.71","84.9","81.7","13.3","2197","2048","96.3","876"
"9","University of Bath","172","3.17","3.31","0.73","86.1","81.2","15.2","2212","1093","97.7","846"
"10","Lancaster University","139","3.19","3.37","0.80","78.3","76.9","12.6","3186","1223","96.3","844"
"11","University of Exeter","151","3.10","3.35","0.69","83.6","79.1","13.1","1933","1466","97.4","820"
"12","University of Birmingham","146","3.15","3.43","0.63","79.6","78.5","12.8","3037","1333","96.3","803"
"13","University of Sheffield","157","3.23","3.40","0.66","79.9","78.0","13.4","2574","722","96.5","797"
"14","UCL (University College London)","165","3.12","3.50","0.72","82.5","77.8","10.7","1547","608","97.1","796"
"15","University of Southampton","145","3.13","3.41","0.71","80.6","77.6","12.6","2382","983","97.2","791"
"16","King's College London, University of London","161","3.07","3.46","0.69","85.1","80.0","12.0","3102","990","94.3","776"
"17","University of Bristol","161","3.11","3.51","0.67","78.4","75.3","13.1","2284","855","97.8","774"
"18","University of Leeds","149","3.08","3.35","0.65","79.9","77.2","12.9","3972","625","95.6","773"
"19","The University of Edinburgh","187","2.98","3.42","0.76","83.0","80.1","10.9","1744","597","95.3","764"
"20","University of York","142","3.09","3.45","0.65","76.4","75.2","12.7","1478","1126","97.0","763"
"21","University of Surrey","129","3.19","3.29","0.62","80.3","78.8","13.1","2439","773","93.9","762"
"22","University of Liverpool","137","3.19","3.34","0.61","78.8","75.9","12.8","2726","932","96.1","760"
"23","Queen's University Belfast","150","3.14","3.27","0.70","83.6","81.5","14.4","1777","999","95.2","753"
"24","University of Manchester","160","3.06","3.47","0.66","79.7","77.7","13.2","2597","669","96.0","747"
"25","University of Dundee","176","3.23","3.23","0.41","81.4","76.6","11.9","2517","846","93.7","745"
"26","University of Nottingham","141","3.11","3.34","0.68","79.7","78.5","13.0","2668","836","96.6","744"
"27","Cardiff University","144","3.12","3.36","0.59","80.7","76.7","12.6","1922","1072","95.9","742"
"27","University of the Arts London","136","3.13","3.18","0.14","57.4","63.7","9.9","4119","458","93.6","742"
"29","University of Glasgow","203","3.04","3.43","0.57","79.5","74.5","12.0","2705","905","94.3","741"
"30","University of Essex","107","3.21","3.23","0.65","70.3","73.1","12.0","3623","1953","89.0","737"
"31","Heriot-Watt University","161","3.07","3.22","0.67","75.4","75.9","13.4","3284","2083","90.1","731"
"32","University of Aberdeen","174","3.21","3.03","0.73","78.5","76.2","12.7","2424","971","95.1","725"
"33","University of Leicester","120","3.19","3.30","0.63","76.9","76.7","13.5","2416","724","96.8","719"
"34","University of East Anglia UEA","124","3.13","3.38","0.56","76.3","75.1","13.6","2366","1248","93.9","706"
"35","Newcastle University","140","3.05","3.29","0.70","77.8","76.6","13.9","2558","795","95.8","702"
"36","University of Sussex","121","3.13","3.29","0.69","67.9","70.6","14.4","2230","1034","94.8","693"
"37","Northumbria University, Newcastle","122","3.13","3.06","0.68","75.1","76.4","13.6","2433","896","88.1","690"
